Year,Age_group,Total_(%),Male_(%),Female_(%)
2015,15 and over,51.2,72.4,33.1
2015,Youth (15-24),26.7,35.7,18.3
2015,Adult (25 & over),56.9,81.4,36.4
2015,Prime age (25-54),66.5,93.4,43.8
2016,15 and over,51.4,72.9,33.4
2016,Youth (15-24),25.7,35.6,16.5
2016,Adult (25 & over),57.3,81.9,37.0
2016,Prime age (25-54),67.2,94.1,44.9
2017,15 and over,51.8,72.4,34.3
2017,Youth (15-24),26.9,36.1,18.2
2017,Adult (25 & over),57.5,81.3,37.7
2017,Prime age (25-54),67.3,93.3,45.6
2018,15 and over,49.5,70.8,31.2
2018,Youth (15-24),23.6,33.0,14.5
2018,Adult (25 & over),55.5,80.3,34.8
2018,Prime age (25-54),65.8,93.4,42.5
2019,15 and over,49.8,70.5,31.9
2019,Youth (15-24),24.1,32.8,15.5
2019,Adult (25 & over),55.7,79.9,35.4
2019,Prime age (25-54),66.2,92.9,43.5
2020,15_and_over,47.8,69.0,29.3
2020,Youth_15-24,21.4,30.3,12.8
2020,Adult_25_and_over,54.0,78.7,33.0
2020,Prime_age_25-54,64.8,92.0,41.2
2021,15_and_over,47.4,68.4,29.3
2021,Youth_15-24,19.4,27.6,11.5
2021,Adult_25_and_over,53.9,78.6,33.1
2021,Prime_age_25-54,65.3,92.1,42.3
2022,15_and_over,47.5,67.9,30.0
2022,Youth_15-24,19.6,26.5,13.1
2022,Adult_25_and_over,54.0,78.2,33.7
2022,Prime_age_25-54,65.4,92.3,42.5
2023,15_and_over,46.3,66.1,29.1
2023,Youth_15-24,18.5,25.2,11.9
2023,Adult_25_and_over,52.8,76.5,32.8
2023,Prime_age_25-54,64.6,91.0,41.9
2024,15_and_over,45.3,65.4,27.7
2024,Youth_15-24,18.5,26.0,11.3
2024,Adult_25_and_over,51.4,75.0,31.2
2024,Prime_age_25-54,64.2,90.8,41.0