Year, District    , Total_(%), Agriculture_(%), Industries_(%), Services_(%)
2015, Total       ,     100.0,            28.7,           25.8,         45.6
2015, Colombo     ,     100.0,             1.8,           27.7,         70.5
2015, Gampaha     ,     100.0,             4.6,           38.8,         56.6
2015, Kalutara    ,     100.0,            17.0,           32.6,         50.4
2015, Kandy       ,     100.0,            22.7,           23.4,         53.9
2015, Matale      ,     100.0,            38.1,           21.8,         40.0
2015, Nuwara Eliya,     100.0,            67.1,           11.9,         21.0
2015, Galle       ,     100.0,            30.5,           26.4,         43.1
2015, Matara      ,     100.0,            33.4,           25.1,         41.5
2015, Hambantota  ,     100.0,            38.9,           24.4,         36.7
2015, Jaffna      ,     100.0,            30.2,           21.0,         48.9
2015, Mannar      ,     100.0,            45.9,            8.8,         45.2
2015, Vavunia     ,     100.0,            28.3,           19.4,         52.3
2015, Mullativu   ,     100.0,            45.5,           21.0,         33.5
2015, Kilinochchi ,     100.0,            35.2,           21.2,         43.5
2015, Batticaloa  ,     100.0,            26.5,           28.2,         45.3
2015, Ampara      ,     100.0,            32.5,           20.7,         46.8
2015, Trincomalee ,     100.0,            26.8,           19.3,         53.9
2015, Kurunegala  ,     100.0,            33.2,           29.3,         37.6
2015, Puttalam    ,     100.0,            26.0,           28.6,         45.3
2015, Anuradhapura,     100.0,            51.5,           14.3,         34.2
2015, Polonnaruwa ,     100.0,            43.1,           19.3,         37.6
2015, Badulla     ,     100.0,            57.3,           12.0,         30.7
2015, Moneragala  ,     100.0,            53.5,           12.8,         33.7
2015, Ratnapura   ,     100.0,            43.3,           26.3,         30.3
2015, Kegalle     ,     100.0,            23.5,           33.2,         43.4
2016, Total       ,     100.0,            27.1,           26.4,         46.5
2016, Colombo     ,     100.0,             1.8,           28.4,         69.7
2016, Gampaha     ,     100.0,             4.9,           37.8,         57.4
2016, Kalutara    ,     100.0,            15.8,           31.1,         53.0
2016, Kandy       ,     100.0,            17.8,           27.6,         54.6
2016, Matale      ,     100.0,            37.6,           22.2,         40.1
2016, Nuwara Eliya,     100.0,            66.1,           11.5,         22.4
2016, Galle       ,     100.0,            34.6,           24.0,         41.4
2016, Matara      ,     100.0,            37.4,           23.3,         39.4
2016, Hambantota  ,     100.0,            36.6,           26.2,         37.2
2016, Jaffna      ,     100.0,            24.4,           24.2,         51.3
2016, Mannar      ,     100.0,            31.7,           16.6,         51.7
2016, Vavunia     ,     100.0,            32.0,           19.0,         49.0
2016, Mullativu   ,     100.0,            40.5,           19.0,         40.4
2016, Kilinochchi ,     100.0,            27.0,           25.4,         47.6
2016, Batticaloa  ,     100.0,            24.8,           29.4,         45.8
2016, Ampara      ,     100.0,            27.8,           24.8,         47.3
2016, Trincomalee ,     100.0,            25.0,           23.2,         51.8
2016, Kurunegala  ,     100.0,            30.4,           29.3,         40.3
2016, Puttalam    ,     100.0,            24.6,           28.5,         47.0
2016, Anuradhapura,     100.0,            48.7,           16.6,         34.6
2016, Polonnaruwa ,     100.0,            39.0,           24.9,         36.2
2016, Badulla     ,     100.0,            57.3,            9.8,         32.9
2016, Moneragala  ,     100.0,            48.9,           15.6,         35.4
2016, Ratnapura   ,     100.0,            37.2,           27.5,         35.4
2016, Kegalle     ,     100.0,            23.7,           34.6,         41.6
2017, Total       ,     100.0,            26.1,           28.4,         45.5
2017, Colombo     ,     100.0,             2.5,           30.6,         66.9
2017, Gampaha     ,     100.0,             3.2,           38.4,         58.4
2017, Kalutara    ,     100.0,            12.9,           34.7,         52.4
2017, Kandy       ,     100.0,            22.2,           28.2,         49.6
2017, Matale      ,     100.0,            36.2,           18.7,         45.2
2017, Nuwara Eliya,     100.0,            64.3,           12.3,         23.4
2017, Galle       ,     100.0,            26.1,           28.5,         45.4
2017, Matara      ,     100.0,            34.2,           28.5,         37.4
2017, Hambantota  ,     100.0,            32.2,           28.4,         39.4
2017, Jaffna      ,     100.0,            24.2,           26.7,         49.0
2017, Mannar      ,     100.0,            33.2,           19.8,         47.0
2017, Vavunia     ,     100.0,            32.7,           21.4,         45.9
2017, Mullativu   ,     100.0,            40.6,           22.4,         37.0
2017, Kilinochchi ,     100.0,            24.8,           38.1,         37.0
2017, Batticaloa  ,     100.0,            28.2,           26.9,         44.8
2017, Ampara      ,     100.0,            29.5,           22.3,         48.2
2017, Trincomalee ,     100.0,            25.4,           24.0,         50.6
2017, Kurunegala  ,     100.0,            29.0,           33.6,         37.4
2017, Puttalam    ,     100.0,            26.5,           33.2,         40.3
2017, Anuradhapura,     100.0,            46.1,           18.1,         35.8
2017, Polonnaruwa ,     100.0,            34.3,           27.5,         38.2
2017, Badulla     ,     100.0,            54.5,           13.7,         31.7
2017, Moneragala  ,     100.0,            51.0,           14.8,         34.2
2017, Ratnapura   ,     100.0,            40.2,           27.4,         32.4
2017, Kegalle     ,     100.0,            20.0,           38.3,         41.7
2018, Total       ,     100.0,            25.5,           27.9,         46.6
2018, Colombo     ,     100.0,             2.7,           28.4,         69.0
2018, Gampaha     ,     100.0,             3.5,           35.8,         60.7
2018, Kalutara    ,     100.0,            15.8,           32.9,         51.4
2018, Kandy       ,     100.0,            20.7,           26.8,         52.5
2018, Matale      ,     100.0,            37.0,           25.7,         37.3
2018, Nuwara Eliya,     100.0,            52.4,           24.3,         23.3
2018, Galle       ,     100.0,            27.2,           27.7,         45.1
2018, Matara      ,     100.0,            30.9,           25.0,         44.1
2018, Hambantota  ,     100.0,            30.3,           29.7,         40.1
2018, Jaffna      ,     100.0,            24.8,           24.1,         51.1
2018, Mannar      ,     100.0,            45.7,           18.9,         35.4
2018, Vavunia     ,     100.0,            20.3,           28.4,         51.3
2018, Mullativu   ,     100.0,            44.5,           21.5,         34.0
2018, Kilinochchi ,     100.0,            33.8,           24.6,         41.6
2018, Batticaloa  ,     100.0,            28.9,           27.2,         43.9
2018, Ampara      ,     100.0,            26.3,           25.4,         48.3
2018, Trincomalee ,     100.0,            26.3,           21.5,         52.2
2018, Kurunegala  ,     100.0,            24.3,           33.7,         42.0
2018, Puttalam    ,     100.0,            30.7,           30.4,         38.9
2018, Anuradhapura,     100.0,            44.6,           17.6,         37.9
2018, Polonnaruwa ,     100.0,            39.1,           23.3,         37.6
2018, Badulla     ,     100.0,            52.2,           15.5,         32.3
2018, Moneragala  ,     100.0,            52.3,           15.1,         32.7
2018, Ratnapura   ,     100.0,            41.4,           26.7,         32.0
2018, Kegalle     ,     100.0,            24.7,           37.1,         38.2
2019, Total       ,     100.0,            25.3,           27.6,         47.1
2019, Colombo     ,     100.0,             1.6,           28.2,         70.2
2019, Gampaha     ,     100.0,             4.4,           37.4,         58.2
2019, Kalutara    ,     100.0,            13.7,           31.1,         55.1
2019, Kandy       ,     100.0,            20.1,           28.4,         51.5
2019, Matale      ,     100.0,            30.3,           25.2,         44.4
2019, Nuwara Eliya,     100.0,            51.2,           24.9,         23.9
2019, Galle       ,     100.0,            25.6,           31.5,         42.9
2019, Matara      ,     100.0,            31.6,           25.0,         43.3
2019, Hambantota  ,     100.0,            29.0,           28.3,         42.7
2019, Jaffna      ,     100.0,            22.2,           24.1,         53.8
2019, Mannar      ,     100.0,            43.9,           18.3,         37.8
2019, Vavunia     ,     100.0,            30.9,           23.5,         45.6
2019, Mullativu   ,     100.0,            47.4,           18.2,         34.4
2019, Kilinochchi ,     100.0,            34.8,           26.2,         39.0
2019, Batticaloa  ,     100.0,            30.9,           28.9,         40.2
2019, Ampara      ,     100.0,            31.2,           22.9,         45.9
2019, Trincomalee ,     100.0,            24.6,           20.8,         54.5
2019, Kurunegala  ,     100.0,            28.6,           30.8,         40.6
2019, Puttalam    ,     100.0,            23.7,           32.0,         44.3
2019, Anuradhapura,     100.0,            46.7,           15.7,         37.6
2019, Polonnaruwa ,     100.0,            41.7,           17.9,         40.4
2019, Badulla     ,     100.0,            55.4,           11.0,         33.6
2019, Moneragala  ,     100.0,            48.6,           16.0,         35.4
2019, Ratnapura   ,     100.0,            39.6,           28.7,         31.7
2019, Kegalle     ,     100.0,            23.6,           33.4,         43.0
2020, Colombo     ,     100.0,             2.1,           28.4,         69.5
2021, Colombo     ,     100.0,             1.9,           25.4,         72.7
2022, Colombo     ,     100.0,             1.7,           25.8,         72.4
2023, Colombo     ,     100.0,             2.0,           26.6,         71.4
2024, Colombo     ,     100.0,             1.3,           25.6,         73.0
2020, Gampaha     ,     100.0,             4.6,           37.2,         58.2
2021, Gampaha     ,     100.0,             4.5,           37.0,         58.5
2022, Gampaha     ,     100.0,             4.3,           36.7,         59.0
2023, Gampaha     ,     100.0,             4.3,           34.8,         60.9
2024, Gampaha     ,     100.0,             4.3,           35.5,         60.2
2020, Kalutara    ,     100.0,            13.8,           30.9,         55.3
2021, Kalutara    ,     100.0,            17.0,           32.1,         50.9
2022, Kalutara    ,     100.0,            17.9,           33.0,         49.1
2023, Kalutara    ,     100.0,            13.8,           33.8,         52.4
2024, Kalutara    ,     100.0,             9.8,           39.1,         51.1
2020, Kandy       ,     100.0,            19.0,           29.0,         52.0
2021, Kandy       ,     100.0,            19.0,           25.5,         55.5
2022, Kandy       ,     100.0,            21.0,           25.6,         53.4
2023, Kandy       ,     100.0,            20.1,           26.3,         53.5
2024, Kandy       ,     100.0,            18.9,           24.5,         56.5
2020, Matale      ,     100.0,            32.1,           25.3,         42.6
2021, Matale      ,     100.0,            29.0,           27.2,         43.8
2022, Matale      ,     100.0,            24.6,           21.7,         53.7
2023, Matale      ,     100.0,            21.1,           24.0,         54.9
2024, Matale      ,     100.0,            34.4,           23.6,         42.0
2020, Nuwara Eliya,     100.0,            60.5,           14.4,         25.1
2021, Nuwara Eliya,     100.0,            57.1,           17.0,         25.9
2022, Nuwara Eliya,     100.0,            58.0,           14.3,         27.7
2023, Nuwara Eliya,     100.0,            58.1,           13.0,         28.9
2024, Nuwara Eliya,     100.0,            56.0,           13.3,         30.7
2020, Galle       ,     100.0,            31.7,           27.6,         40.7
2021, Galle       ,     100.0,            28.7,           28.0,         43.3
2022, Galle       ,     100.0,            29.4,           26.6,         44.0
2023, Galle       ,     100.0,            26.1,           25.6,         48.4
2024, Galle       ,     100.0,            26.0,           26.9,         47.1
2020, Matara      ,     100.0,            31.1,           25.2,         43.7
2021, Matara      ,     100.0,            34.5,           22.5,         43.0
2022, Matara      ,     100.0,            34.5,           20.4,         45.0
2023, Matara      ,     100.0,            33.1,           23.6,         43.3
2024, Matara      ,     100.0,            29.3,           23.4,         47.2
2020, Hambantota  ,     100.0,            34.6,           29.5,         35.9
2021, Hambantota  ,     100.0,            32.1,           24.1,         43.8
2022, Hambantota  ,     100.0,            33.5,           25.1,         41.4
2023, Hambantota  ,     100.0,            38.5,           20.2,         41.4
2024, Hambantota  ,     100.0,            40.1,           21.4,         38.5
2020, Jaffna      ,     100.0,            22.1,           26.0,         52.0
2021, Jaffna      ,     100.0,            27.1,           23.6,         49.3
2022, Jaffna      ,     100.0,            21.2,           26.6,         52.1
2023, Jaffna      ,     100.0,            21.6,           19.8,         58.6
2024, Jaffna      ,     100.0,            23.4,           24.7,         51.9
2020, Mannar      ,     100.0,            45.2,           14.2,         40.6
2021, Mannar      ,     100.0,            53.6,           17.0,         29.4
2022, Mannar      ,     100.0,            52.8,           17.0,         30.2
2023, Mannar      ,     100.0,            53.0,           12.2,         34.8
2024, Mannar      ,     100.0,            52.7,           12.1,         35.3
2020, Vavuniya    ,     100.0,            29.8,           22.7,         47.4
2021, Vavuniya    ,     100.0,            23.6,           24.7,         51.7
2022, Vavuniya    ,     100.0,            27.7,           25.0,         47.3
2023, Vavuniya    ,     100.0,            32.6,           24.4,         43.0
2024, Vavuniya    ,     100.0,            34.0,           17.3,         48.7
2020, Mullaitivu  ,     100.0,            52.9,           17.9,         29.2
2021, Mullaitivu  ,     100.0,            45.9,           22.7,         31.4
2022, Mullaitivu  ,     100.0,            46.2,           20.6,         33.2
2023, Mullaitivu  ,     100.0,            45.5,           18.6,         35.8
2024, Mullaitivu  ,     100.0,            51.9,           18.7,         29.4
2020, Kilinochchi ,     100.0,            30.7,           32.5,         36.8
2021, Kilinochchi ,     100.0,            34.4,           31.8,         33.8
2022, Kilinochchi ,     100.0,            35.6,           29.4,         35.0
2023, Kilinochchi ,     100.0,            33.7,           27.0,         39.3
2024, Kilinochchi ,     100.0,            31.3,           25.1,         43.6
2020, Batticaloa  ,     100.0,            31.8,           27.4,         40.8
2021, Batticaloa  ,     100.0,            29.3,           29.3,         41.3
2022, Batticaloa  ,     100.0,            32.0,           23.8,         44.2
2023, Batticaloa  ,     100.0,            30.7,           23.6,         45.7
2024, Batticaloa  ,     100.0,            27.5,           22.2,         50.3
2020, Ampara      ,     100.0,            24.6,           21.7,         53.7
2021, Ampara      ,     100.0,            28.2,           20.4,         51.4
2022, Ampara      ,     100.0,            30.7,           24.7,         44.6
2023, Ampara      ,     100.0,            31.6,           22.2,         46.2
2024, Ampara      ,     100.0,            36.9,           20.6,         42.5
2020, Trincomalee ,     100.0,            30.7,           18.9,         50.4
2021, Trincomalee ,     100.0,            32.1,           21.7,         46.2
2022, Trincomalee ,     100.0,            30.2,           20.3,         49.5
2023, Trincomalee ,     100.0,            32.3,           21.5,         46.1
2024, Trincomalee ,     100.0,            31.7,           20.4,         47.9
2020, Kurunegala  ,     100.0,            31.6,           29.9,         38.5
2021, Kurunegala  ,     100.0,            30.8,           29.5,         39.7
2022, Kurunegala  ,     100.0,            27.2,           31.0,         41.7
2023, Kurunegala  ,     100.0,            28.1,           28.3,         43.6
2024, Kurunegala  ,     100.0,            28.4,           27.2,         44.4
2020, Puttalam    ,     100.0,            30.4,           31.4,         38.1
2021, Puttalam    ,     100.0,            27.3,           31.8,         40.9
2022, Puttalam    ,     100.0,            24.8,           33.2,         41.9
2023, Puttalam    ,     100.0,            26.9,           27.4,         45.7
2024, Puttalam    ,     100.0,            27.7,           29.2,         43.1
2020, Anuradhapura,     100.0,            52.8,           13.1,         34.1
2021, Anuradhapura,     100.0,            50.8,           13.6,         35.7
2022, Anuradhapura,     100.0,            51.9,           16.5,         31.6
2023, Anuradhapura,     100.0,            48.7,           15.6,         35.7
2024, Anuradhapura,     100.0,            52.0,           12.6,         35.4
2020, Polonnaruwa ,     100.0,            37.9,           24.5,         37.6
2021, Polonnaruwa ,     100.0,            46.3,           20.9,         32.9
2022, Polonnaruwa ,     100.0,            41.3,           18.7,         40.0
2023, Polonnaruwa ,     100.0,            45.2,           17.7,         37.1
2024, Polonnaruwa ,     100.0,            44.4,           18.8,         36.8
2020, Badulla     ,     100.0,            53.0,           14.0,         33.0
2021, Badulla     ,     100.0,            57.6,           13.4,         29.0
2022, Badulla     ,     100.0,            51.3,           16.8,         31.9
2023, Badulla     ,     100.0,            52.3,           12.6,         35.1
2024, Badulla     ,     100.0,            47.7,           15.9,         36.3
2020, Monaragala  ,     100.0,            47.8,           18.8,         33.4
2021, Monaragala  ,     100.0,            53.4,           16.6,         30.0
2022, Monaragala  ,     100.0,            51.4,           18.5,         30.1
2023, Monaragala  ,     100.0,            53.4,           14.8,         31.8
2024, Monaragala  ,     100.0,            53.3,           14.2,         32.6
2020, Ratnapura   ,     100.0,            42.8,           26.0,         31.1
2021, Ratnapura   ,     100.0,            42.0,           25.3,         32.7
2022, Ratnapura   ,     100.0,            41.3,           28.2,         30.5
2023, Ratnapura   ,     100.0,            41.6,           29.2,         29.2
2024, Ratnapura   ,     100.0,            38.3,           29.0,         32.7
2020, Kegalle     ,     100.0,            26.0,           32.7,         41.3
2021, Kegalle     ,     100.0,            23.5,           29.5,         47.0
2022, Kegalle     ,     100.0,            23.1,           30.5,         46.3
2023, Kegalle     ,     100.0,            21.3,           33.1,         45.6
2024, Kegalle     ,     100.0,            22.9,           30.3,         46.8
